feature_id	Domain	Phylum	Class	Order	Family	Genus	Species
30cddc43a6d9375cd04b9f873742210b	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	uncultured bacterium
30ce14363814cb15be97d62f295f6cf2	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium
30d7419c6e765f067eab422c8fd058f7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
30dfbe3f90200d1227da7e65cbc8a47c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius
30e79da221f17dd25ceb9ed244f66625	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	Subdoligranulum NA
30e880dce79c79e5acd269e89ff48723	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Prevotella sp.
30ed65bb429a56949c6c934342562ada	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group NA
30f7cba6eb64747f90515f3dc5406dab	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas NA
30fdcccd4bc918410b8d2b55b8f733c2	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium
30fece725a255177544c81e32c0ee460	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae NA	Oscillospiraceae NA
310023723aab4696cdb707dc6bb4d94a	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	uncultured organism
3100b09713b1e19b5baeb09e34e6f122	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Prevotella 7 NA
3108432186c3154cc129bfd1bfdfc3a5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Aggregatibacter	uncultured bacterium
310abc6cfb94b4250d87450dc8f44880	Unassigned	Unassigned NA	Unassigned NA	Unassigned NA	Unassigned NA	Unassigned NA	Unassigned NA
310fe0bb6e43b0e9a121300ab9965916	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas NA
